"AnimalID","Name","DateTime","OutcomeType","AnimalType","Age","Sex","IsFixed","MixColor","MainColor","MixBreed","MainBreed"
"A701466","No","2015-04-30 12:52:00","Transfer","Cat",3,"Unknown","Unknown","No","Black","Yes","Domestic Shorthair"
"A693759","Yes","2014-12-14 12:46:00","Return_to_owner","Dog",1460,"Female","Yes","No","White","Yes","Chihuahua Longhair"
"A668331","Yes","2013-12-10 18:02:00","Adoption","Dog",60,"Female","Yes","Yes","Blue","Yes","Catahoula"
"A680908","No","2014-06-15 18:48:00","Adoption","Cat",60,"Female","Yes","No","Flame Point","No","Siamese"
"A702686","No","2015-05-16 18:42:00","Transfer","Cat",14,"Unknown","Unknown","No","Black","Yes","Domestic Shorthair"
"A669853","Yes","2014-01-03 14:50:00","Transfer","Dog",180,"Male","No","No","Black","Yes","Labrador Retriever"
"A719373","Yes","2016-01-23 21:10:00","Adoption","Cat",60,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A691445","Yes","2014-11-19 15:07:00","Transfer","Cat",1095,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A664940","Yes","2013-12-02 14:46:00","Euthanasia","Dog",365,"Female","Yes","No","White","Yes","Pit Bull"
"A699873","No","2015-04-03 16:46:00","Transfer","Cat",14,"Female","No","No","Black","Yes","Domestic Shorthair"
"A668031","Yes","2013-12-24 12:20:00","Adoption","Dog",730,"Male","Yes","No","Red","No","Rhod Ridgeback"
"A688139","Yes","2014-09-23 19:10:00","Adoption","Dog",730,"Male","Yes","Yes","Black","Yes","Catahoula"
"A685520","Yes","2014-08-21 14:24:00","Transfer","Cat",365,"Female","Yes","No","Calico","Yes","Domestic Shorthair"
"A707865","Yes","2015-07-21 11:38:00","Return_to_owner","Cat",365,"Male","Yes","Yes","Seal Point","Yes","Siamese"
"A703381","No","2015-06-02 09:07:00","Euthanasia","Cat",365,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A706205","Yes","2015-07-04 11:07:00","Transfer","Cat",730,"Female","Yes","No","Seal Point","Yes","Siamese"
"A698222","Yes","2016-01-15 10:35:00","Adoption","Dog",2190,"Female","Yes","No","Brown","Yes","Labrador Retriever"
"A687693","Yes","2014-12-30 13:11:00","Adoption","Dog",150,"Female","Yes","Yes","Brown","Yes","Australian Cattle Dog"
"A703806","Yes","2015-08-28 12:53:00","Adoption","Cat",90,"Female","Yes","Yes","Blue","Yes","Domestic Shorthair"
"A694499","No","2015-01-06 12:30:00","Transfer","Cat",1095,"Female","Yes","No","Black","Yes","Domestic Longhair"
"A683203","Yes","2014-08-06 14:36:00","Transfer","Cat",365,"Male","No","Yes","Cream","Yes","Domestic Shorthair"
"A694034","No","2014-12-23 14:16:00","Adoption","Cat",60,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A715577","Yes","2015-11-10 12:03:00","Adoption","Dog",730,"Female","Yes","No","Gray","Yes","Miniature Schnauzer"
"A689261","Yes","2014-10-04 17:29:00","Return_to_owner","Dog",30,"Male","Yes","No","White","Yes","Dachshund Wirehair"
"A696288","Yes","2015-02-03 13:08:00","Return_to_owner","Dog",1095,"Female","Yes","Yes","Red","No","Siberian Husky"
"A706729","No","2015-07-03 09:00:00","Transfer","Cat",120,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A715681","Yes","2015-12-26 15:05:00","Adoption","Dog",730,"Male","Yes","No","Brown","Yes","Pit Bull"
"A681854","Yes","2014-06-26 08:59:00","Transfer","Dog",365,"Male","Yes","Yes","Black","Yes","Chihuahua Shorthair"
"A711640","Yes","2015-09-13 19:15:00","Adoption","Dog",60,"Male","Yes","Yes","Buff","Yes","Dachshund"
"A692760","Yes","2014-12-06 14:03:00","Adoption","Dog",730,"Male","Yes","No","Cream","Yes","Anatol Shepherd"
"A676984","Yes","2014-05-05 12:31:00","Transfer","Cat",730,"Male","Yes","Yes","Black","Yes","Domestic Longhair"
"A688492","No","2014-09-24 11:22:00","Euthanasia","Dog",2920,"Female","No","Yes","Black","Yes","Rottweiler"
"A685946","Yes","2014-09-18 15:00:00","Transfer","Cat",1095,"Female","Yes","Yes","Black","Yes","Domestic Shorthair"
"A706475","No","2015-07-06 15:53:00","Transfer","Dog",730,"Male","No","Yes","Brown","Yes","Pit Bull"
"A716046","Yes","2015-11-30 15:09:00","Adoption","Cat",90,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A713332","Yes","2015-10-08 14:37:00","Transfer","Cat",30,"Female","No","Yes","Black","Yes","Domestic Shorthair"
"A691784","Yes","2014-11-25 14:05:00","Transfer","Cat",90,"Male","Yes","No","Brown","Yes","Domestic Shorthair"
"A696088","Yes","2015-02-01 12:38:00","Adoption","Dog",240,"Female","Yes","Yes","Black","Yes","Border Collie"
"A643052","Yes","2015-01-05 13:00:00","Transfer","Cat",1825,"Male","Yes","Yes","White","Yes","Domestic Longhair"
"A663692","Yes","2013-11-26 16:27:00","Euthanasia","Dog",2190,"Male","Yes","Yes","Brown","Yes","Plott Hound"
"A691046","Yes","2014-10-29 16:09:00","Return_to_owner","Dog",730,"Male","No","Yes","Red","Yes","Siberian Husky"
"A711725","No","2015-09-11 00:00:00","Transfer","Cat",14,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A673158","Yes","2014-04-26 12:41:00","Transfer","Dog",1095,"Male","Yes","Yes","Red","Yes","Catahoula"
"A715740","Yes","2015-11-17 00:00:00","Transfer","Cat",90,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A704593","Yes","2015-06-06 18:36:00","Return_to_owner","Dog",3285,"Female","No","No","Blue","Yes","Australian Cattle Dog"
"A670682","No","2014-01-18 16:57:00","Adoption","Dog",270,"Female","Yes","Yes","Tan","Yes","Chinese Sharpei"
"A702783","No","2015-05-21 17:06:00","Adoption","Dog",30,"Male","Yes","No","Brown","Yes","Other"
"A701146","No","2015-06-25 09:52:00","Adoption","Dog",60,"Female","Yes","Yes","Buff","Yes","Dachshund"
"A665005","No","2013-10-15 13:09:00","Transfer","Cat",30,"Female","No","No","Orange","Yes","Domestic Shorthair"
"A680126","Yes","2014-06-24 15:32:00","Adoption","Cat",60,"Male","Yes","No","Black","No","Domestic Longhair"
"A682119","No","2014-06-29 17:08:00","Transfer","Dog",730,"Male","No","No","Black","Yes","Other"
"A720110","Yes","2016-02-15 13:06:00","Adoption","Dog",365,"Male","Yes","No","Brown","Yes","Pit Bull"
"A682619","Yes","2014-07-12 12:55:00","Return_to_owner","Dog",1095,"Male","Yes","Yes","Tan","Yes","German Shepherd"
"A717893","Yes","2015-12-18 18:13:00","Adoption","Dog",120,"Male","Yes","No","Other","Yes","Other"
"A695968","No","2015-01-27 09:00:00","Transfer","Cat",365,"Unknown","Unknown","No","Blue","Yes","Domestic Shorthair"
"A681477","No","2014-06-22 12:34:00","Transfer","Dog",60,"Male","No","No","Tricolor","Yes","Plott Hound"
"A685489","No","2014-08-09 09:00:00","Transfer","Cat",240,"Unknown","Unknown","Yes","White","Yes","Domestic Shorthair"
"A663134","Yes","2013-12-18 12:29:00","Adoption","Dog",365,"Male","Yes","No","Blue","Yes","Queensland Heeler"
"A676080","No","2014-04-10 14:12:00","Transfer","Cat",90,"Male","Yes","No","Flame Point","Yes","Siamese"
"A692182","Yes","2015-02-05 17:18:00","Adoption","Dog",120,"Male","Yes","No","Black","Yes","Border Collie"
"A705437","Yes","2015-06-29 15:55:00","Return_to_owner","Dog",730,"Male","No","Yes","Black","No","German Shepherd"
"A531398","Yes","2014-06-01 18:14:00","Adoption","Dog",3285,"Male","Yes","Yes","Brown","Yes","Chihuahua Shorthair"
"A687437","Yes","2014-10-13 17:32:00","Adoption","Cat",60,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A698156","Yes","2015-03-10 18:07:00","Adoption","Dog",90,"Male","Yes","No","Tricolor","Yes","Dachshund"
"A694263","Yes","2015-01-16 19:29:00","Adoption","Dog",2190,"Female","Yes","No","Tricolor","Yes","English Bulldog"
"A680909","No","2014-06-12 17:46:00","Adoption","Cat",60,"Female","Yes","No","Flame Point","No","Siamese"
"A709318","No","2015-08-11 00:00:00","Transfer","Cat",21,"Female","No","No","Orange","Yes","Domestic Shorthair"
"A679738","Yes","2014-08-07 11:19:00","Died","Dog",210,"Male","No","No","Brown","Yes","Chihuahua Shorthair"
"A708232","No","2015-07-24 19:02:00","Transfer","Cat",28,"Female","No","Yes","Black","Yes","Domestic Shorthair"
"A698690","No","2015-03-20 16:54:00","Adoption","Dog",120,"Female","Yes","Yes","Brown","Yes","Chihuahua Shorthair"
"A704969","Yes","2015-07-19 15:19:00","Adoption","Cat",60,"Female","Yes","No","Tortie","Yes","Domestic Shorthair"
"A707492","No","2015-07-14 09:00:00","Transfer","Cat",365,"Male","No","No","Orange","Yes","Domestic Shorthair"
"A682424","No","2014-07-08 14:49:00","Transfer","Cat",60,"Male","Yes","No","Orange","Yes","Domestic Shorthair"
"A710929","No","2015-09-06 17:22:00","Transfer","Dog",180,"Female","Yes","Yes","Tan","Yes","Australian Kelpie"
"A718579","Yes","2016-02-16 00:00:00","Transfer","Dog",1825,"Female","Yes","Yes","Black","Yes","Labrador Retriever"
"A686958","Yes","2014-08-29 15:00:00","Euthanasia","Dog",2190,"Male","Yes","No","Brown","Yes","Pit Bull"
"A662284","Yes","2014-01-30 18:40:00","Return_to_owner","Dog",730,"Male","Yes","Yes","White","Yes","Pit Bull"
"A683594","Yes","2014-07-24 17:14:00","Adoption","Cat",730,"Female","Yes","No","Brown","Yes","Domestic Shorthair"
"A709832","Yes","2015-08-21 13:20:00","Adoption","Dog",1095,"Female","Yes","Yes","Blue","Yes","Yorkshire Terrier"
"A662739","Yes","2013-10-05 12:42:00","Transfer","Cat",30,"Male","No","Yes","Black","Yes","Domestic Shorthair"
"A697713","Yes","2015-11-15 12:39:00","Return_to_owner","Dog",365,"Male","Yes","Yes","Tan","Yes","Labrador Retriever"
"A670121","Yes","2014-01-06 17:21:00","Adoption","Dog",60,"Male","Yes","No","Chocolate","Yes","Pit Bull"
"A670076","Yes","2014-01-31 18:25:00","Adoption","Dog",365,"Male","Yes","Yes","Blue","Yes","Pit Bull"
"A665023","Yes","2013-10-22 14:41:00","Adoption","Cat",60,"Male","Yes","No","Cream","Yes","Domestic Longhair"
"A682709","Yes","2014-07-12 13:37:00","Return_to_owner","Dog",1825,"Male","Yes","Yes","White","Yes","Boxer"
"A705676","Yes","2015-07-04 13:31:00","Adoption","Dog",730,"Female","Yes","Yes","White","Yes","Chihuahua Shorthair"
"A713018","Yes","2016-01-29 17:41:00","Adoption","Cat",120,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A675673","No","2014-04-06 17:23:00","Adoption","Dog",730,"Female","Yes","No","Cream","Yes","Cairn Terrier"
"A716144","Yes","2015-11-16 19:08:00","Return_to_owner","Dog",365,"Female","Yes","No","Tan","Yes","Cairn Terrier"
"A709042","No","2015-08-05 09:00:00","Transfer","Cat",150,"Male","No","Yes","Brown","Yes","Domestic Shorthair"
"A716897","Yes","2015-12-02 19:02:00","Adoption","Dog",365,"Female","Yes","No","White","Yes","Great Pyrenees"
"A669211","Yes","2013-12-21 18:25:00","Adoption","Dog",730,"Male","Yes","Yes","White","Yes","Chihuahua Shorthair"
"A715209","Yes","2015-11-03 16:47:00","Adoption","Dog",60,"Female","Yes","Yes","White","Yes","Cocker Spaniel"
"A695981","Yes","2015-04-02 17:18:00","Adoption","Dog",730,"Male","Yes","No","Brown","Yes","Chihuahua Shorthair"
"A683776","No","2014-07-16 09:00:00","Transfer","Cat",90,"Female","No","No","Tortie","Yes","Domestic Shorthair"
"A696482","No","2015-02-09 17:31:00","Transfer","Dog",365,"Male","Yes","No","White","Yes","Bull Terrier"
"A666263","Yes","2013-11-04 15:41:00","Transfer","Dog",60,"Female","No","No","Red","Yes","Australian Cattle Dog"
"A666864","Yes","2013-11-08 13:45:00","Return_to_owner","Dog",180,"Female","Yes","Yes","Brown","Yes","Labrador Retriever"
"A713795","No","2015-10-18 17:36:00","Adoption","Dog",240,"Male","Yes","No","Buff","Yes","Chihuahua Shorthair"
"A710635","Yes","2015-09-01 00:00:00","Transfer","Dog",365,"Male","Yes","Yes","Fawn","Yes","Chihuahua Shorthair"
"A691820","Yes","2014-11-10 11:54:00","Return_to_owner","Dog",1095,"Female","Yes","Yes","Chocolate","Yes","Chihuahua Shorthair"
"A671134","Yes","2014-01-25 17:06:00","Adoption","Dog",150,"Male","Yes","No","Red","Yes","Other"
"A713592","Yes","2015-12-05 16:30:00","Adoption","Dog",730,"Male","Yes","Yes","Brown","Yes","Labrador Retriever"
"A711995","Yes","2015-09-20 18:26:00","Adoption","Dog",60,"Male","Yes","Yes","Black","Yes","Labrador Retriever"
"A677110","Yes","2014-04-29 18:00:00","Return_to_owner","Dog",180,"Male","Yes","No","Black","Yes","Maltese"
"A713865","Yes","2015-10-29 12:00:00","Transfer","Cat",90,"Male","Yes","No","Orange","Yes","Domestic Shorthair"
"A670329","Yes","2014-01-06 11:09:00","Return_to_owner","Dog",365,"Male","No","No","Black","Yes","Chihuahua Shorthair"
"A675866","Yes","2014-04-16 17:06:00","Adoption","Dog",365,"Male","Yes","No","Red","Yes","Dachshund"
"A685201","Yes","2014-08-23 08:16:00","Adoption","Cat",30,"Female","Yes","Yes","Brown","Yes","Domestic Shorthair"
"A713920","Yes","2015-12-16 16:20:00","Adoption","Cat",90,"Female","Yes","No","Brown","Yes","Domestic Shorthair"
"A713107","Yes","2015-10-07 15:44:00","Transfer","Dog",730,"Female","Yes","No","White","Yes","Labrador Retriever"
"A687597","No","2014-09-13 16:27:00","Transfer","Dog",60,"Male","Yes","Yes","White","Yes","Pointer"
"A667268","No","2013-11-18 15:37:00","Transfer","Cat",730,"Female","No","No","Torbie","Yes","Domestic Shorthair"
"A684694","No","2014-07-30 17:27:00","Transfer","Dog",60,"Male","No","Yes","Tan","No","Australian Cattle Dog"
"A677917","Yes","2014-05-04 18:57:00","Adoption","Cat",365,"Female","Yes","No","Orange","Yes","Domestic Medium Hair"
"A670610","Yes","2014-03-02 17:38:00","Adoption","Dog",730,"Male","Yes","Yes","Tan","Yes","German Shepherd"
"A680243","Yes","2014-06-18 14:15:00","Transfer","Cat",21,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A701372","Yes","2015-06-05 18:51:00","Adoption","Cat",30,"Female","Yes","No","Brown","No","Domestic Medium Hair"
"A706090","No","2015-06-24 16:39:00","Transfer","Cat",21,"Unknown","Unknown","No","Brown","Yes","Domestic Shorthair"
"A672230","Yes","2014-02-06 17:53:00","Return_to_owner","Dog",730,"Male","Yes","No","Buff","Yes","Other"
"A685573","Yes","2014-08-21 14:37:00","Adoption","Dog",365,"Male","Yes","Yes","Tan","Yes","Other"
"A661851","Yes","2013-10-13 14:12:00","Adoption","Cat",120,"Female","Yes","Yes","Orange","Yes","Domestic Shorthair"
"A712725","Yes","2015-10-21 18:55:00","Adoption","Dog",2555,"Male","Yes","No","White","Yes","Great Pyrenees"
"A700188","Yes","2015-04-15 16:31:00","Adoption","Dog",365,"Female","No","No","White","Yes","Miniature Poodle"
"A670612","Yes","2015-11-15 11:35:00","Return_to_owner","Dog",1460,"Female","No","Yes","Orange","No","Beagle"
"A631781","Yes","2014-07-30 17:57:00","Adoption","Cat",3285,"Female","Yes","Yes","Orange","No","Other"
"A676182","Yes","2014-04-07 13:01:00","Return_to_owner","Dog",1825,"Female","Yes","No","White","No","Other"
"A694172","Yes","2014-12-31 15:09:00","Adoption","Dog",30,"Male","Yes","Yes","Tan","Yes","Catahoula"
"A692323","No","2014-11-18 17:27:00","Transfer","Cat",14,"Male","No","No","Black","Yes","Domestic Shorthair"
"A693010","No","2015-01-26 18:47:00","Adoption","Dog",30,"Female","Yes","No","Tan","Yes","Labrador Retriever"
"A672265","No","2014-02-11 18:22:00","Adoption","Dog",180,"Female","Yes","Yes","Tan","Yes","Golden Retriever"
"A670379","Yes","2014-01-09 14:26:00","Return_to_owner","Cat",2555,"Male","Yes","Yes","Black","Yes","Domestic Longhair"
"A719527","Yes","2016-02-01 17:08:00","Return_to_owner","Dog",365,"Male","No","Yes","Blue","Yes","Pit Bull"
"A705019","Yes","2015-08-08 12:41:00","Adoption","Cat",60,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A674781","Yes","2014-03-25 17:51:00","Return_to_owner","Dog",1460,"Male","Yes","Yes","Brown","Yes","Other"
"A670272","Yes","2014-01-05 14:51:00","Return_to_owner","Dog",365,"Male","Yes","No","Gray","Yes","Miniature Schnauzer"
"A690906","Yes","2014-12-19 09:12:00","Adoption","Cat",90,"Male","Yes","No","Blue","Yes","Domestic Shorthair"
"A699238","Yes","2015-04-23 12:55:00","Adoption","Dog",90,"Male","Yes","No","Tan","Yes","Other"
"A705730","Yes","2015-06-24 15:14:00","Transfer","Dog",90,"Female","No","Yes","White","Yes","Pit Bull"
"A692390","Yes","2014-12-06 11:22:00","Adoption","Dog",2920,"Female","No","Yes","Black","Yes","Beagle"
"A673914","Yes","2014-03-26 15:48:00","Transfer","Cat",730,"Female","Yes","No","Orange","Yes","Domestic Medium Hair"
"A710312","No","2015-08-21 15:11:00","Transfer","Cat",21,"Female","No","No","Torbie","Yes","Domestic Shorthair"
"A642732","Yes","2013-10-10 15:00:00","Transfer","Cat",30,"Female","Yes","No","Tortie","Yes","Domestic Shorthair"
"A702023","Yes","2015-07-07 19:16:00","Adoption","Cat",365,"Female","Yes","No","Calico","Yes","Domestic Longhair"
"A718955","Yes","2016-01-15 19:04:00","Return_to_owner","Dog",365,"Male","Yes","No","Brown","No","Pomeranian"
"A349480","Yes","2013-12-22 11:30:00","Return_to_owner","Dog",365,"Female","Yes","No","Chocolate","Yes","Labrador Retriever"
"A685733","Yes","2014-08-16 18:50:00","Adoption","Dog",60,"Female","Yes","Yes","Brown","Yes","Labrador Retriever"
"A719114","Yes","2016-01-17 19:00:00","Adoption","Dog",365,"Male","Yes","Yes","Brown","Yes","Chihuahua Longhair"
"A707321","Yes","2015-08-17 17:45:00","Adoption","Cat",60,"Female","Yes","No","Tortie","Yes","Domestic Shorthair"
"A687716","Yes","2014-09-15 15:28:00","Transfer","Cat",60,"Female","No","Yes","Seal Point","Yes","Siamese"
"A649522","Yes","2015-02-07 11:17:00","Return_to_owner","Dog",730,"Male","No","No","Brown","Yes","Other"
"A679061","Yes","2014-06-24 18:37:00","Adoption","Dog",270,"Female","Yes","Yes","Black","Yes","Pit Bull"
"A691120","No","2014-11-01 14:30:00","Euthanasia","Cat",240,"Female","No","Yes","Black","Yes","Domestic Shorthair"
"A716818","Yes","2015-12-06 18:02:00","Transfer","Dog",365,"Male","Yes","No","Brown","Yes","German Shepherd"
"A664681","Yes","2013-10-20 14:09:00","Return_to_owner","Dog",730,"Female","No","Yes","White","Yes","Chihuahua Shorthair"
"A704840","Yes","2015-06-17 15:27:00","Return_to_owner","Cat",2920,"Female","Yes","Yes","White","Yes","Domestic Medium Hair"
"A686939","No","2014-08-29 18:03:00","Transfer","Cat",28,"Male","No","Yes","Brown","Yes","Domestic Shorthair"
"A713341","Yes","2015-11-27 17:47:00","Adoption","Cat",60,"Male","Yes","No","Blue","Yes","Domestic Shorthair"
"A597754","Yes","2015-08-13 18:25:00","Adoption","Dog",1825,"Female","Yes","Yes","Red","Yes","Other"
"A687458","Yes","2014-10-18 16:13:00","Adoption","Cat",60,"Male","Yes","No","Blue","Yes","Domestic Shorthair"
"A679917","Yes","2014-06-21 14:57:00","Adoption","Dog",365,"Female","Yes","No","Cream","Yes","Anatol Shepherd"
"A668543","Yes","2013-12-16 13:58:00","Transfer","Cat",30,"Female","Yes","No","Blue","Yes","Domestic Medium Hair"
"A666962","No","2013-11-13 15:57:00","Transfer","Cat",365,"Female","Yes","Yes","Brown","Yes","Domestic Shorthair"
"A680140","No","2014-05-31 11:21:00","Transfer","Dog",2,"Female","No","No","Brown","Yes","Labrador Retriever"
"A643536","Yes","2013-10-07 13:11:00","Transfer","Dog",365,"Male","Yes","Yes","Black","Yes","Other"
"A718689","Yes","2016-01-10 00:00:00","Transfer","Dog",1825,"Female","Yes","No","Tricolor","Yes","Chihuahua Longhair"
"A672075","No","2014-02-03 15:42:00","Euthanasia","Cat",1460,"Male","No","Yes","Black","Yes","Domestic Longhair"
"A660209","Yes","2013-11-17 18:33:00","Adoption","Dog",730,"Female","Yes","Yes","Brown","Yes","American Staffordshire Terrier"
"A664631","Yes","2013-10-07 14:24:00","Return_to_owner","Dog",365,"Female","No","No","White","Yes","Siberian Husky"
"A702130","Yes","2015-07-18 20:30:00","Adoption","Cat",90,"Female","Yes","No","Tortie","Yes","Domestic Shorthair"
"A707191","Yes","2015-07-28 18:39:00","Adoption","Dog",730,"Female","No","Yes","Black","Yes","Beagle"
"A684216","No","2014-07-25 18:41:00","Adoption","Dog",730,"Male","Yes","Yes","Chocolate","Yes","Chihuahua Shorthair"
"A689247","No","2014-10-02 09:00:00","Transfer","Cat",365,"Female","No","No","Calico","Yes","Domestic Shorthair"
"A625626","Yes","2015-12-15 12:04:00","Euthanasia","Dog",2555,"Female","No","Yes","White","Yes","Dachshund"
"A716236","No","2015-11-17 00:00:00","Transfer","Cat",150,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A667356","Yes","2013-11-17 12:06:00","Return_to_owner","Dog",365,"Female","No","Yes","Blue","Yes","Staffordshire"
"A705005","Yes","2015-07-02 10:24:00","Transfer","Dog",240,"Female","Yes","Yes","Tan","Yes","American Pit Bull Terrier"
"A664953","Yes","2013-12-12 15:46:00","Died","Cat",90,"Female","No","Yes","Black","Yes","Domestic Shorthair"
"A713267","Yes","2015-10-09 17:02:00","Adoption","Dog",365,"Male","Yes","No","Tan","Yes","Labrador Retriever"
"A701357","Yes","2015-09-27 13:19:00","Adoption","Dog",1825,"Female","Yes","Yes","Sable","Yes","Chihuahua Shorthair"
"A694211","Yes","2015-01-11 15:01:00","Adoption","Cat",1825,"Female","Yes","No","Black","Yes","Domestic Medium Hair"
"A716075","Yes","2015-11-17 17:23:00","Return_to_owner","Dog",30,"Male","Yes","Yes","White","Yes","Jack Russell Terrier"
"A674267","Yes","2014-03-18 16:04:00","Adoption","Dog",1095,"Female","Yes","No","Brown","Yes","Chihuahua Shorthair"
"A659834","Yes","2013-10-01 09:31:00","Adoption","Dog",60,"Male","Yes","No","Black","Yes","Labrador Retriever"
"A688609","Yes","2014-11-05 16:31:00","Adoption","Cat",60,"Male","Yes","No","Brown","Yes","Domestic Shorthair"
"A618422","Yes","2014-09-18 16:57:00","Return_to_owner","Dog",1095,"Male","Yes","No","Brown","Yes","Chihuahua Shorthair"
"A708204","Yes","2015-12-31 13:58:00","Transfer","Cat",3285,"Male","Yes","No","Orange","Yes","Domestic Shorthair"
"A673496","No","2014-03-03 15:36:00","Transfer","Cat",365,"Female","Yes","Yes","Blue","Yes","Domestic Shorthair"
"A718192","Yes","2016-01-04 13:24:00","Adoption","Dog",1825,"Male","Yes","Yes","Tan","Yes","Chihuahua Shorthair"
"A702396","No","2015-05-25 13:51:00","Transfer","Cat",60,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A705726","Yes","2015-06-24 14:29:00","Transfer","Dog",60,"Female","No","No","White","Yes","German Shepherd"
"A713225","Yes","2015-10-10 14:02:00","Transfer","Dog",730,"Male","Yes","No","Tan","Yes","Chihuahua Longhair"
"A680719","No","2014-06-06 18:17:00","Transfer","Cat",30,"Male","No","No","Black","Yes","Domestic Medium Hair"
"A630031","Yes","2014-01-11 16:05:00","Adoption","Dog",730,"Male","Yes","No","Black","Yes","German Shepherd"
"A675175","Yes","2014-04-15 11:34:00","Adoption","Dog",60,"Female","Yes","Yes","Black","Yes","Border Collie"
"A714760","No","2015-10-28 09:00:00","Transfer","Cat",730,"Unknown","Unknown","Yes","Brown","Yes","Domestic Medium Hair"
"A696385","Yes","2015-02-04 13:48:00","Return_to_owner","Dog",2190,"Female","Yes","Yes","Black","Yes","Pit Bull"
"A708203","Yes","2015-12-08 12:51:00","Transfer","Cat",1095,"Female","Yes","No","Lilac Point","Yes","Siamese"
"A684795","No","2014-07-28 18:45:00","Transfer","Cat",14,"Male","No","No","Orange","Yes","Domestic Shorthair"
"A674387","Yes","2014-03-13 19:13:00","Return_to_owner","Dog",365,"Male","No","Yes","Brown","Yes","Chihuahua Shorthair"
"A683943","No","2014-07-18 09:00:00","Transfer","Cat",730,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A700821","Yes","2015-04-20 11:59:00","Return_to_owner","Dog",730,"Male","Yes","Yes","Black","Yes","Siberian Husky"
"A700453","No","2015-04-14 10:44:00","Transfer","Cat",1,"Unknown","Unknown","Yes","Blue","Yes","Domestic Shorthair"
"A709384","No","2015-08-09 09:00:00","Transfer","Cat",120,"Female","No","Yes","Brown","Yes","Domestic Medium Hair"
"A687492","No","2014-09-09 17:41:00","Adoption","Cat",60,"Male","Yes","Yes","Brown","Yes","Domestic Shorthair"
"A712283","Yes","2015-09-21 11:30:00","Return_to_owner","Cat",1095,"Male","Yes","No","Orange","Yes","Domestic Shorthair"
"A611682","Yes","2015-04-26 18:01:00","Adoption","Dog",1460,"Female","Yes","No","Gray","Yes","Miniature Poodle"
"A671124","Yes","2014-01-20 18:42:00","Adoption","Cat",60,"Male","Yes","Yes","Orange","Yes","Domestic Longhair"
"A660051","No","2013-11-13 12:57:00","Adoption","Cat",120,"Male","Yes","No","Brown","Yes","Domestic Shorthair"
"A696151","Yes","2015-02-24 17:17:00","Adoption","Dog",30,"Male","Yes","Yes","Black","Yes","Dachshund"
"A691429","No","2014-11-05 09:00:00","Transfer","Cat",120,"Female","No","No","Cream","Yes","Domestic Shorthair"
"A700239","Yes","2015-04-18 18:29:00","Transfer","Dog",365,"Male","No","No","Red","Yes","Dachshund"
"A682212","Yes","2014-06-25 15:44:00","Return_to_owner","Dog",1095,"Female","Yes","No","White","No","Other"
"A682418","No","2014-07-12 18:27:00","Adoption","Cat",60,"Female","Yes","No","Black","No","Domestic Shorthair"
"A672057","Yes","2014-02-04 12:04:00","Return_to_owner","Dog",730,"Female","Yes","No","Other","Yes","Miniature Poodle"
"A705389","Yes","2015-06-25 17:11:00","Adoption","Cat",365,"Female","Yes","No","Blue","Yes","Domestic Shorthair"
"A658734","Yes","2015-02-21 16:28:00","Adoption","Dog",1460,"Female","Yes","No","Red","Yes","Dachshund Longhair"
"A699584","Yes","2015-03-31 18:26:00","Return_to_owner","Dog",90,"Female","Yes","Yes","Tan","Yes","Yorkshire Terrier"
"A708027","Yes","2015-07-27 18:58:00","Adoption","Dog",120,"Female","Yes","No","Black","Yes","Labrador Retriever"
"A712541","Yes","2015-10-12 16:17:00","Adoption","Cat",60,"Female","Yes","Yes","Torbie","Yes","Domestic Shorthair"
"A707782","No","2015-07-21 14:51:00","Transfer","Dog",120,"Male","No","Yes","Black","Yes","Chihuahua Shorthair"
"A702915","Yes","2015-05-24 18:58:00","Adoption","Dog",60,"Male","Yes","Yes","Red","No","Anatol Shepherd"
"A712355","Yes","2015-09-27 14:32:00","Adoption","Cat",2920,"Male","Yes","No","Orange","Yes","Domestic Shorthair"
"A667884","No","2013-11-28 12:01:00","Transfer","Dog",30,"Male","Yes","Yes","Black","No","Miniature Schnauzer"
"A687811","Yes","2014-09-14 14:27:00","Transfer","Dog",90,"Male","No","Yes","Brown","Yes","Labrador Retriever"
"A665653","No","2013-10-23 17:30:00","Transfer","Cat",60,"Male","No","Yes","Brown","Yes","Domestic Shorthair"
"A664450","Yes","2013-10-05 12:01:00","Transfer","Dog",1825,"Female","No","No","Tan","Yes","Chihuahua Shorthair"
"A706257","Yes","2015-07-02 17:50:00","Adoption","Dog",60,"Male","Yes","No","Brown","Yes","German Shepherd"
